Subway,,,,,,,
製表日期：,2025/12/13,,,,,,[VENUSTW_G18]
,發票編號：,VM14253885 ～ VM14253885,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0139,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020601,嫩切雞肉堡6吋,1,0,110,AP 單品入帳,18:11:08
2,A080201,嫩雞沙拉捲餅,1,0,102,AP 單品入帳,18:11:08
3,A030301,義大利牛肉丸堡6吋,1,0,129,AP 單品入帳,18:11:08
4,A020503,鮮嫩雞柳烤餅6吋,1,0,135,AP 單品入帳,18:11:08
5,A060401,酪梨泥一球,1,0,45,AP 單品入帳,18:11:08
,合計,,5,0,521,,
,,,,,,,
,TOTAL,,,,521,信用卡付款,
,發票編號：,VM14253887 ～ VM14253887,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0140,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050302,百味俱樂部堡12吋,1,0,230,AP 單品入帳,18:15:43
,合計,,1,0,230,,
,,,,,,,
,TOTAL,,,,230,信用卡付款,
,發票編號：,VM14253888 ～ VM14253888,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0141,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,18:17:15
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,18:17:15
,合計,,2,0,184,,
,,,,,,,
,TOTAL,,,,184,Line Pay付款,
,發票編號：,VM14253889 ～ VM14253889,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0142,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A080201,嫩雞沙拉捲餅,1,0,102,AP 單品入帳,18:17:55
2,A080201,嫩雞沙拉捲餅,1,0,102,AP 單品入帳,18:17:55
,合計,,2,0,204,,
,,,,,,,
,TOTAL,,,,204,現金付款,
,發票編號：,VM14253890 ～ VM14253890,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0143,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,18:20:41
2,A020506,鮮嫩雞柳雙份肉料,1,0,55,AP 單品入帳,18:20:41
3,A060401,酪梨泥一球,1,0,45,AP 單品入帳,18:20:41
5,A050601,蛋沙拉堡6吋,1,0,120,AP 單品入帳,18:20:41
6,A0703,C套餐,1,0,55,AP 單品入帳,18:20:41
9,A0814,餅乾1片,1,0,25,AP 單品入帳,18:20:41
,合計,,6,0,425,,
,,,,,,,
,TOTAL,,,,425,信用卡付款,
,發票編號：,VM14253891 ～ VM14253891,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0144,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030103,厚切嫩牛烤餅6吋,1,0,159,AP 單品入帳,18:22:45
2,A060401,酪梨泥一球,1,0,45,AP 單品入帳,18:22:45
3,A090801,美式咖啡冰,1,0,38,AP 單品入帳,18:22:45
,合計,,3,0,242,,
,,,,,,,
,TOTAL,,,,242,Line Pay付款,
,發票編號：,VM14253892 ～ VM14253892,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0146,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030402,墨西哥辣牛堡12吋,1,0,207,AP 單品入帳,18:23:45
,合計,,1,0,207,,
,,,,,,,
,TOTAL,,,,207,Line Pay付款,
,發票編號：,VM14253893 ～ VM14253893,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0147,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0815,餅乾3片,1,0,60,AP 單品入帳,18:31:04
,合計,,1,0,60,,
,,,,,,,
,TOTAL,,,,60,現金付款,
,發票編號：,VM14253894 ～ VM14253894,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0148,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030102,厚切嫩牛堡12吋,1,0,268,AP 單品入帳,18:38:49
,合計,,1,0,268,,
,,,,,,,
,TOTAL,,,,268,現金付款,
,發票編號：,VM14253895 ～ VM14253895,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0149,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,18:41:38
2,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,18:41:38
3,A050101,義大利經典堡6吋,1,0,135,AP 單品入帳,18:41:38
4,A050401,哈燒起司總匯堡6吋,1,0,125,AP 單品入帳,18:41:38
5,A060301,培根1條,1,0,23,AP 單品入帳,18:41:38
,合計,,5,0,536,,
,,,,,,,
,TOTAL,,,,536,現金付款,
,發票編號：,VM14253896 ～ VM14253896,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0150,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030102,厚切嫩牛堡12吋,1,0,268,AP 單品入帳,18:44:22
2,A060401,酪梨泥一球,1,0,45,AP 單品入帳,18:44:22
,合計,,2,0,313,,
,,,,,,,
,TOTAL,,,,313,Line Pay付款,
,發票編號：,VM14253897 ～ VM14253897,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0151,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020301,香烤雞肉堡6吋,1,0,125,AP 單品入帳,18:50:10
2,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,18:50:10
,合計,,2,0,250,,
,,,,,,,
,TOTAL,,,,250,Line Pay付款,
,發票編號：,VM14253898 ～ VM14253898,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0152,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,18:55:44
2,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,18:55:44
,合計,,2,0,160,,
,,,,,,,
,TOTAL,,,,160,信用卡付款,
,發票編號：,VM14253899 ～ VM14253899,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0153,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050402,哈燒起司總匯堡12吋,1,0,225,AP 單品入帳,18:56:27
,合計,,1,0,225,,
,,,,,,,
,TOTAL,,,,225,現金付款,
,發票編號：,VM14253900 ～ VM14253900,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0154,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A080201,嫩雞沙拉捲餅,1,0,102,AP 單品入帳,19:04:53
2,A050401,哈燒起司總匯堡6吋,1,0,125,AP 單品入帳,19:04:53
3,A030505,火腿沙拉,1,0,150,AP 單品入帳,19:04:53
4,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,19:04:53
5,A0701,A套餐,1,0,48,AP 單品入帳,19:04:53
,合計,,5,0,550,,
,,,,,,,
,TOTAL,,,,550,信用卡付款,
,發票編號：,VM14253901 ～ VM14253901,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0155,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,B221,蛋沙拉百味,1,0,286,AP 單品入帳,19:22:04
,合計,,1,0,286,,
,,,,,,,
,TOTAL,,,,286,FoodPanda付款,
,發票編號：,VM14253902 ～ VM14253902,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0156,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030401,墨西哥辣牛堡6吋,1,0,115,AP 單品入帳,19:34:34
,合計,,1,0,115,,
,,,,,,,
,TOTAL,,,,115,現金付款,
,發票編號：,VM14253903 ～ VM14253903,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0157,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050601,蛋沙拉堡6吋,1,0,120,AP 單品入帳,19:51:44
,合計,,1,0,120,,
,,,,,,,
,TOTAL,,,,120,現金付款,
,發票編號：,VM14253904 ～ VM14253904,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0158,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
2,A020502,鮮嫩雞柳堡12吋,1,0,225,AP 單品入帳,20:02:31
,合計,,1,0,225,,
,,,,,,,
,TOTAL,,,,225,現金付款,
,發票編號：,VM14253905 ～ VM14253905,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0159,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,149,0,AP 單品入帳,20:10:24
3,A060301,培根1條,1,23,0,AP 單品入帳,20:10:24
4,A060601,嫩煎蛋一片,1,35,0,AP 單品入帳,20:10:24
,合計,,3,207,0,,
,,,,,,,
,TOTAL,,,,0,,
,發票編號：,00000000 ～ 00000000,交易種類 ：,◎一般入帳◎,,客戶編號：,2101130002員工餐0元
,交易日期：,2025/11/30,序 號：,0160,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,20:12:11
,合計,,1,0,149,,
,,,,,,,
,TOTAL,,,,149,現金付款,
,發票編號：,VM14253906 ～ VM14253906,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0161,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020601,嫩切雞肉堡6吋,1,0,110,AP 單品入帳,20:13:03
,合計,,1,0,110,,
,,,,,,,
,TOTAL,,,,110,現金付款,
,發票編號：,VM14253907 ～ VM14253907,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0162,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0815,餅乾3片,1,0,60,AP 單品入帳,20:13:47
,合計,,1,0,60,,
,,,,,,,
,TOTAL,,,,60,現金付款,
,發票編號：,VM14253908 ～ VM14253908,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0163,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,20:14:11
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,20:14:11
,合計,,2,0,163,,
,,,,,,,
,TOTAL,,,,163,現金付款,
,發票編號：,VM14253909 ～ VM14253909,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0164,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A050302,百味俱樂部堡12吋,1,0,230,AP 單品入帳,20:21:33
2,A0703,C套餐,1,0,55,AP 單品入帳,20:21:33
,合計,,2,0,285,,
,,,,,,,
,TOTAL,,,,285,信用卡付款,
,發票編號：,VM14253910 ～ VM14253910,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0165,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030502,火腿堡12吋,1,0,189,AP 單品入帳,20:55:37
,合計,,1,0,189,,
,,,,,,,
,TOTAL,,,,189,現金付款,
,發票編號：,VM14253911 ～ VM14253911,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0166,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0814,餅乾1片,1,25,0,AP 單品入帳,21:00:51
4,A0814,餅乾1片,1,25,0,AP 單品入帳,21:00:51
7,A080201,嫩雞沙拉捲餅,1,102,0,AP 單品入帳,21:00:51
,合計,,3,152,0,,
,,,,,,,
,TOTAL,,,,0,,
,發票編號：,00000000 ～ 00000000,交易種類 ：,◎一般入帳◎,,客戶編號：,2101130002員工餐0元
,交易日期：,2025/11/30,序 號：,0167,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,21:03:02
2,A0814,餅乾1片,1,0,25,AP 單品入帳,21:03:02
,合計,,2,0,150,,
,,,,,,,
,TOTAL,,,,150,現金付款,
,發票編號：,VM14253912 ～ VM14253912,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0168,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
6,B324,酪梨香烤雞,1,0,251,AP 單品入帳,21:11:20
,合計,,1,0,251,,
,,,,,,,
,TOTAL,,,,251,FoodPanda付款,
,發票編號：,VM14253913 ～ VM14253913,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0169,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,B327,墨西哥辣牛沙拉,1,0,214,AP 單品入帳,21:12:00
4,B323,雙重起司厚牛,1,0,257,AP 單品入帳,21:12:00
,合計,,2,0,471,,
,,,,,,,
,TOTAL,,,,471,FoodPanda付款,
,發票編號：,VM14253914 ～ VM14253914,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0170,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A080201,嫩雞沙拉捲餅,1,0,102,AP 單品入帳,21:26:31
,合計,,1,0,102,,
,,,,,,,
,TOTAL,,,,102,Line Pay付款,
,發票編號：,VM14253915 ～ VM14253915,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0171,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030401,墨西哥辣牛堡6吋,1,0,115,AP 單品入帳,21:34:07
2,A050101,義大利經典堡6吋,1,0,135,AP 單品入帳,21:34:07
,合計,,2,0,250,,
,,,,,,,
,TOTAL,,,,250,信用卡付款,
,發票編號：,VM14253916 ～ VM14253916,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0172,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020602,嫩切雞肉堡12吋,1,0,198,AP 單品入帳,21:42:18
,合計,,1,0,198,,
,,,,,,,
,TOTAL,,,,198,現金付款,
,發票編號：,VM14253917 ～ VM14253917,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0173,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A010101,厚切牛起司蛋堡,1,0,82,AP 單品入帳,08:08:33
,合計,,1,0,82,,
,,,,,,,
,TOTAL,,,,82,Line Pay付款,
,發票編號：,VM14253918 ～ VM14253918,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/01,序 號：,0001,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0193,套餐培根起司蛋,1,0,98,AP 單品入帳,08:10:46
4,A0193,套餐培根起司蛋,1,0,110,AP 單品入帳,08:10:46
,合計,,2,0,208,,
,,,,,,,
,TOTAL,,,,208,信用卡付款,
,發票編號：,VM14253919 ～ VM14253919,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/01,序 號：,0002,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A010401,起司蛋堡,1,0,52,AP 單品入帳,08:42:39
,合計,,1,0,52,,
,,,,,,,
,TOTAL,,,,52,現金付款,
,發票編號：,VM14253920 ～ VM14253920,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/01,序 號：,0003,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020601,嫩切雞肉堡6吋,1,0,110,AP 單品入帳,08:51:07
2,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,08:51:07
3,A060601,嫩煎蛋一片,2,0,70,AP 單品入帳,08:51:07
4,A0703,C套餐,1,0,72,AP 單品入帳,08:51:07
7,A091302,金選奶茶熱,1,0,50,AP 單品入帳,08:51:07
,合計,,6,0,451,,
,,,,,,,
,TOTAL,,,,451,現金付款,
,發票編號：,VM14253921 ～ VM14253921,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/01,序 號：,0004,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A040202,鮪魚堡12吋,1,0,225,AP 單品入帳,09:04:22
2,A060201,蛋沙拉1球,2,0,70,AP 單品入帳,09:04:22
,合計,,3,0,295,,
,,,,,,,
,TOTAL,,,,295,現金付款,
,發票編號：,VM14253922 ～ VM14253922,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/01,序 號：,0006,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
